Time (s),Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z,Class
0.119333029,0.99,-0.02,0.13,-0.24,-1.1,-0.12,33.37,39.06,3.05,RUN
0.119333029,0.99,0.01,0.14,-3.72,1.1,1.77,33.23,38.96,3.33,RUN
0.120836258,0.98,-0.02,0.12,-3.42,4.09,2.75,33.26,38.48,4.53,RUN
0.120836258,1.05,-0.01,0.12,5.92,6.96,4.39,33.94,38.27,4.93,RUN
0.121840477,0.98,0,0.12,24.48,-3.6,6.35,34.09,38.39,4.08,RUN
0.122840405,1.01,-0.03,0.11,46.69,-4.33,1.83,34.12,38.88,6.87,RUN
0.122840405,1.02,-0.11,0.14,59.2,-10.8,5.8,34.17,39.62,8.36,RUN
0.123840332,0.9,-0.1,0.11,44.19,-4.03,9.34,34.2,40.03,12.57,RUN
0.12484026,1,0,0.14,59.45,-14.65,16.72,33.9,39.56,12.52,RUN
0.12484026,0.95,0.14,0.23,67.32,-11.84,26.25,35.28,37.3,17.85,RUN
0.125840425,1.01,0.17,0.29,76.54,-8.61,17.94,36.38,35.13,18.99,RUN
0.125840425,0.95,0.14,0.32,66.22,-11.29,13.67,36.85,33.51,22.07,RUN
0.126840115,0.91,0.12,0.28,61.83,12.51,18.68,37.13,30.75,24.29,RUN
0.127840042,1.01,0.1,0.26,40.53,16.05,18.43,37.99,28.64,26.56,RUN
0.128840208,0.95,0.04,0.2,24.35,13.06,6.84,38.11,26.26,29.08,RUN
0.128840208,1,0.03,0.18,17.58,19.29,1.22,37.54,24.26,31.87,RUN
0.129840136,1,0.07,0.14,7.08,-0.85,-9.03,37.95,24.6,32.57,RUN
0.130840302,1.02,0.09,0.11,5.62,10.8,-7.45,37.67,25.54,31.74,RUN
0.130840302,0.98,-0.01,0.1,-2.2,11.47,-3.91,37.59,25.09,32.69,RUN
0.131840229,0.98,0.04,0.06,-1.04,-1.46,-1.04,37.05,26.11,32.91,RUN
0.132839918,1.01,-0.03,0.01,-0.98,3.97,8.61,37.21,25.44,34.69,RUN
0.132839918,1.02,-0.04,0.02,-7.63,-6.53,1.65,37.38,25.95,33.81,RUN
0.133839846,1.04,-0.03,0,1.77,1.65,-5.74,36.77,25.73,35.66,RUN
0.134840012,0.92,0.01,0.04,6.59,-2.08,-0.98,37.18,26,32.76,RUN
