Time (s),Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z
0.08096480369567871,0.78, -0.29, -0.19, -16.11, -16.48, -6.16, 35.12, 22.97, 39.64,
0.08196520805358887,0.94, -0.17, 0.04, -16.11, -17.58, -5.80, 34.70, 25.15, 40.31,
0.08290648460388184,0.92, -0.19, 0.09, 3.91, 7.75, 6.59, 35.21, 24.79, 38.72,
0.08290648460388184,0.75, -0.38, 0.08, -22.16, 28.81, 17.03, 35.38, 24.43, 39.60,
0.08396434783935547,1.11, -0.27, 0.07, -26.49, 12.51, 15.75, 34.61, 24.60, 40.33,
0.08396434783935547,1.08, 0.00, -0.02, 4.03, -6.65, 6.41, 33.75, 23.75, 41.41,
0.0849614143371582,0.90, -0.09, -0.23, 22.83, 5.80, -5.55, 34.96, 23.56, 39.95,
0.0849614143371582,0.96, -0.05, -0.04, -4.58, 6.53, -10.19, 33.78, 23.40, 41.20,
0.08596563339233398,0.96, -0.10, 0.00, 1.71, 2.50, -4.33, 33.69, 23.17, 40.01,
0.08696174621582031,0.94, -0.06, -0.06, -6.35, -6.53, -0.49, 33.48, 23.44, 40.66,
0.08696174621582031,1.29, -0.10, 0.08, 27.89, -13.18, -4.33, 33.86, 23.56, 40.66,
0.08796548843383789,0.77, -0.24, -0.21, -16.85, -18.55, -3.54, 34.58, 22.62, 39.55,
0.08796548843383789,1.16, -0.15, -0.04, -13.92, 6.84, 4.58, 34.97, 24.41, 39.58,
0.08896112442016602,0.77, -0.13, 0.02, 4.82, -4.27, 11.35, 35.42, 23.93, 37.87,
0.08896112442016602,0.90, -0.15, 0.05, -2.62, 16.60, 10.19, 35.40, 22.47, 40.19,
0.08996415138244629,1.12, -0.27, 0.03, -9.40, 9.34, 9.58, 34.96, 21.94, 39.71,
0.09105181694030762,1.25, 0.04, -0.03, -5.07, -3.30, -0.31, 33.57, 23.00, 40.99,
0.09221720695495605,0.78, -0.01, -0.25, -12.27, -20.69, 5.68, 35.22, 22.06, 41.36,
0.09221720695495605,1.03, -0.09, 0.01, 2.01, 26.37, -22.46, 35.13, 22.63, 39.61,
0.09331917762756348,0.89, -0.07, -0.05, 15.93, 2.26, -6.84, 33.46, 23.23, 41.61,
0.09331917762756348,0.94, -0.04, -0.03, 2.32, 3.42, -7.20, 33.36, 23.30, 41.31,
0.09422755241394043,1.17, -0.14, 0.07, 32.78, -17.88, -14.59, 33.02, 23.35, 41.26,
0.09422755241394043,0.93, -0.35, -0.05, -6.96, -11.47, -9.16, 34.83, 22.86, 42.09,
0.09532713890075684,0.92, -0.28, -0.14, -19.53, -10.80, -4.15, 35.90, 24.05, 39.94,
0.09632730484008789,0.87, -0.18, 0.11, 3.23, -20.20, 11.96, 35.21, 25.40, 40.12,
0.09632730484008789,0.96, -0.18, 0.11, -3.78, 27.04, 13.55, 35.35, 24.21, 39.37,
0.09732675552368164,1.01, -0.23, -0.01, -5.13, 0.98, 9.52, 34.85, 23.63, 40.86,
0.09732675552368164,1.25, -0.10, -0.05, -6.29, 12.39, 14.83, 34.85, 23.50, 40.52,
0.09832072257995605,0.82, -0.11, -0.18, 14.22, -39.92, 11.29, 36.05, 22.02, 39.97,
0.09923887252807617,1.09, -0.10, -0.02, 22.16, 27.34, -25.21, 35.99, 20.86, 40.66,
0.09923887252807617,0.85, -0.04, 0.02, 14.89, -18.80, -10.74, 36.46, 21.17, 40.03,
0.10032439231872559,0.89, -0.07, 0.07, -1.10, 1.89, -4.33, 35.41, 21.39, 40.20,
0.10032439231872559,1.15, -0.12, 0.08, 21.48, -13.24, -17.15, 36.13, 21.70, 39.84,
0.10132074356079102,1.03, -0.39, 0.05, 7.51, 3.54, -19.53, 36.35, 21.28, 39.20,
0.10193324089050293,0.95, -0.31, -0.10, -4.70, 4.46, -6.65, 36.60, 22.64, 38.45,
0.10193324089050293,0.80, -0.25, 0.00, -7.69, -23.80, -13.49, 36.29, 23.65, 38.90,
0.10303759574890137,0.91, -0.26, 0.10, -7.02, 1.04, 10.86, 36.50, 24.51, 39.36,
0.10303759574890137,0.96, -0.39, 0.06, -17.15, 9.58, 23.44, 36.08, 23.29, 39.23,
0.1039433479309082,1.13, -0.12, 0.16, -21.12, -1.59, 14.83, 36.21, 23.34, 38.75,
0.10494279861450195,0.88, -0.08, -0.12, 5.68, -8.36, 16.60, 37.15, 21.95, 38.81,
0.10494279861450195,1.11, -0.15, -0.05, 23.62, 36.62, -6.90, 36.05, 21.44, 39.39,
0.10595703125,0.83, -0.13, -0.01, 8.79, 3.72, -5.43, 35.41, 20.83, 40.86,
0.10595703125,0.97, -0.04, -0.07, -15.87, 17.52, -2.32, 34.28, 21.44, 41.58,
0.10713386535644531,1.07, -0.03, -0.16, -3.66, 0.61, -2.14, 33.03, 22.89, 43.54,
0.10794711112976074,1.16, -0.27, -0.12, -6.90, -9.46, -1.71, 33.50, 22.45, 42.63,
0.10794711112976074,0.77, -0.13, -0.11, -2.75, -9.83, 5.31, 34.64, 23.46, 41.83,
0.10894536972045898,1.15, -0.15, -0.09, -9.40, 19.41, -4.88, 34.70, 23.60, 41.22,
0.10894536972045898,0.85, -0.14, -0.07, 7.32, -13.98, 7.08, 34.22, 23.43, 41.37,
0.10995650291442871,0.96, -0.17, -0.04, 2.93, 6.16, 2.08, 33.96, 22.85, 42.65,
0.10995650291442871,0.99, -0.15, -0.03, -9.52, 9.58, 11.78, 33.73, 22.28, 43.74,
0.11094141006469727,1.05, -0.16, -0.01, -7.14, 10.31, 1.04, 32.51, 21.74, 43.08,
0.11194086074829102,1.20, -0.08, -0.07, 2.32, 1.46, 12.27, 33.07, 21.55, 42.61,
0.11194086074829102,0.86, -0.05, -0.21, 0.43, -2.56, -7.08, 33.23, 21.46, 42.76,
0.11295628547668457,1.05, -0.09, -0.21, 7.63, 13.31, -0.61, 32.40, 21.42, 43.23,
0.11295628547668457,0.94, -0.06, -0.14, 4.03, -4.70, -2.81, 32.04, 21.22, 44.04,
0.11395645141601562,0.98, -0.06, -0.12, -2.62, -6.84, 0.31, 31.99, 21.01, 43.31,
0.11395645141601562,0.97, -0.07, -0.08, -10.74, -4.76, -2.75, 32.65, 21.19, 42.76,
0.11495757102966309,1.00, -0.04, -0.02, -5.86, -7.20, -2.38, 32.47, 22.51, 42.68,
0.11495757102966309,1.09, -0.12, -0.03, -8.06, 1.10, -0.06, 33.00, 22.52, 43.65,
0.11594581604003906,0.97, -0.16, -0.11, -4.82, -1.28, -9.16, 31.98, 23.66, 42.37,
0.11594581604003906,0.97, -0.19, -0.20, -31.01, 4.88, 0.49, 32.18, 24.50, 42.55,
0.11746621131896973,1.07, -0.06, -0.06, -6.41, 5.07, -3.17, 31.15, 27.17, 43.18,
0.11746621131896973,0.91, -0.16, -0.12, 0.24, -7.45, 5.74, 31.53, 26.48, 41.00,
0.11849665641784668,0.95, -0.09, -0.08, -10.80, 7.45, 5.00, 31.99, 26.29, 43.43,
0.11849665641784668,0.99, -0.08, -0.06, -9.83, 3.66, 11.05, 31.87, 26.04, 41.09,
0.11949539184570312,1.01, -0.07, -0.08, 4.21, -3.85, 2.87, 31.52, 25.71, 41.74,
0.12049555778503418,1.14, -0.04, -0.03, 1.53, 4.09, 16.66, 32.06, 24.91, 41.66,
0.12049555778503418,0.96, -0.11, -0.10, -9.83, 1.34, 9.34, 33.06, 23.88, 42.63,
0.12149548530578613,0.89, 0.01, -0.22, -3.11, 7.81, -3.23, 33.12, 24.35, 41.87,
0.12149548530578613,1.07, 0.01, -0.27, 21.67, 8.30, -4.64, 32.03, 23.95, 42.40,
0.12250351905822754,0.94, -0.03, -0.18, 1.04, -6.29, -2.62, 32.01, 23.56, 42.58,
0.12250351905822754,1.01, 0.02, 0.08, 3.66, 4.03, -5.07, 33.72, 40.32, 14.21,
0.2132246494293213,1.01, 0.00, 0.07, 5.00, 9.16, -5.62, 33.47, 40.42, 14.73,
0.3218982219696045,1.00, 0.00, 0.04, 8.18, 9.77, -6.04, 33.24, 40.37, 15.95,
0.43212103843688965,1.02, -0.01, 0.03, 9.52, 11.72, -4.21, 32.56, 41.35, 17.32,
0.5426464080810547,1.01, -0.01, 0.01, 8.91, 4.64, -6.71, 32.17, 41.88, 18.87,
0.6537067890167236,0.98, -0.05, 0.01, 5.43, 8.48, -5.62, 32.45, 42.04, 19.54,
0.7638125419616699,0.97, -0.09, 0.00, 2.75, 7.87, -6.29, 32.65, 42.53, 18.90,
0.8729891777038574,1.00, -0.19, -0.08, -6.41, 23.19, -5.19, 31.77, 42.83, 19.41,
0.9826316833496094,1.10, -0.15, -0.12, -9.58, 0.92, -1.71, 31.01, 43.44, 21.37,
1.0920257568359375,0.94, -0.11, -0.03, 11.90, -13.98, 14.28, 31.19, 43.23, 20.63,
1.2026546001434326,0.96, -0.26, -0.01, 26.86, 3.54, 11.90, 32.14, 40.98, 21.55,
1.310924768447876,1.06, -0.06, -0.15, 6.10, -4.88, 3.42, 32.52, 40.47, 23.12,
1.4206926822662354,0.93, 0.06, -0.05, 23.74, 11.47, 19.65, 32.34, 39.61, 23.78,
1.5302720069885254,1.01, 0.21, -0.11, 16.48, -0.61, 6.04, 32.23, 37.56, 25.01,
1.6393983364105225,1.01, 0.16, -0.07, 29.66, -1.53, 4.39, 32.69, 37.30, 25.26,
1.7482366561889648,0.96, 0.16, -0.08, 2.99, -10.86, -0.18, 33.22, 35.82, 25.46,
1.8583288192749023,1.03, 0.05, -0.02, 3.17, -1.16, -6.71, 33.02, 35.94, 26.18,
1.9683141708374023,0.97, 0.04, -0.07, 10.74, -7.08, -4.21, 33.70, 35.89, 26.10,
2.078500509262085,1.01, 0.02, -0.02, 1.28, -3.48, -7.45, 33.62, 35.97, 25.85,
2.187805652618408,1.01, 0.01, -0.02, -2.38, -9.58, -4.52, 32.80, 36.79, 26.39,
2.2977912425994873,1.00, 0.01, -0.01, -7.08, -10.56, -3.66, 33.39, 37.26, 24.91,
2.408267021179199,1.02, 0.02, 0.02, -8.54, -8.48, -5.19, 33.29, 37.73, 23.99,
2.5166969299316406,0.96, -0.00, 0.06, -4.33, -4.82, 2.75, 32.97, 38.07, 23.50,
2.6275689601898193,1.05, -0.02, 0.05, -13.00, -13.31, -4.09, 32.76, 38.55, 22.12,
2.7364001274108887,0.97, 0.01, 0.13, -10.86, -9.09, -2.56, 33.19, 38.82, 20.48,
2.8475165367126465,1.03, -0.01, 0.14, -3.60, -7.93, -0.55, 33.24, 38.54, 20.19,
2.9573161602020264,0.96, -0.00, 0.15, 2.20, 3.30, -1.59, 32.82, 38.76, 19.47,
3.0673935413360596,0.98, 0.11, 0.09, 0.12, -1.89, 0.12, 32.73, 38.93, 20.23,
3.176121711730957,1.01, 0.07, 0.13, -13.73, -5.49, -3.30, 32.81, 39.50, 19.64,
3.2874791622161865,0.97, 0.07, 0.11, -30.64, -7.08, -7.57, 33.03, 39.56, 17.40,
3.396653175354004,0.93, 0.04, 0.11, -18.92, 4.15, -13.18, 32.56, 40.33, 15.86,
3.505722999572754,0.97, -0.14, 0.14, 0.61, -6.47, -11.35, 31.91, 41.75, 16.39,
3.615410804748535,1.04, -0.14, 0.15, -6.65, -10.25, -8.61, 31.32, 42.26, 15.72,
3.725431203842163,0.96, -0.19, 0.20, 11.41, -16.48, 3.17, 31.74, 42.61, 14.28,
3.8357577323913574,0.95, -0.16, 0.16, 20.63, -15.63, 19.96, 31.95, 42.79, 13.93,
3.94732666015625,0.95, -0.07, 0.30, -6.59, -13.24, 23.62, 33.44, 40.14, 14.79,
4.057448863983154,0.99, -0.05, 0.24, -29.42, 0.67, 11.66, 33.76, 39.78, 11.66,
4.166991949081421,0.89, 0.08, 0.25, -30.09, -10.74, 3.91, 33.48, 39.43, 11.49,
4.277140378952026,1.00, 0.09, 0.29, -14.53, 3.05, 6.47, 33.33, 38.17, 10.68,
4.3864264488220215,0.97, 0.14, 0.22, -6.29, -1.46, 1.71, 33.69, 37.98, 9.86,
4.496001720428467,0.92, 0.11, 0.30, 8.18, -14.16, 3.36, 34.07, 38.01, 8.37,
4.605341672897339,0.91, 0.05, 0.34, -0.49, 3.48, -4.09, 33.87, 38.18, 8.70,
4.716763019561768,0.97, 0.20, 0.42, 18.80, 5.00, -18.19, 33.72, 39.48, 10.25,
4.826714038848877,1.00, 0.02, 0.22, 19.23, 3.42, 0.31, 33.20, 39.42, 10.86,
4.935051202774048,0.96, 0.06, 0.27, 15.93, 2.69, 6.65, 34.00, 40.33, 13.40,
5.044109344482422,0.97, 0.01, 0.25, 14.53, -0.24, -1.10, 34.11, 38.81, 12.52,
5.154733180999756,0.92, 0.00, 0.25, 4.39, 7.69, -6.71, 33.75, 39.53, 13.06,
5.264097452163696,0.93, 0.04, 0.23, -9.95, 23.80, -18.01, 33.78, 40.61, 14.27,
5.3742992877960205,0.89, 0.01, 0.02, -5.19, 14.89, -16.66, 32.84, 42.07, 15.05,
5.484692573547363,1.06, -0.10, 0.14, -19.71, 27.34, 0.49, 32.21, 42.42, 15.98,
5.594048976898193,0.94, -0.12, 0.08, -6.90, 1.04, 7.75, 32.47, 42.41, 17.42,
5.703847646713257,1.11, -0.03, 0.12, 8.06, -11.17, 9.16, 32.92, 41.39, 16.55,
5.813704252243042,0.84, -0.02, 0.03, -2.14, 4.82, 26.73, 33.73, 39.54, 14.64,
5.923650741577148,1.17, 0.21, 0.10, -5.49, 11.41, 9.03, 34.66, 38.27, 16.83,
6.03200888633728,0.92, 0.08, 0.06, -22.46, -3.48, -13.85, 34.84, 38.20, 15.86,
6.141660451889038,1.01, 0.24, 0.04, -22.77, -1.83, -6.16, 33.40, 39.62, 15.20,
6.250780820846558,1.00, -0.05, 0.09, -2.56, -2.81, 0.31, 34.18, 38.71, 14.62,
6.360561847686768,0.98, 0.01, 0.02, 4.88, 1.40, -5.37, 34.35, 38.85, 13.50,
6.4701056480407715,1.05, -0.07, 0.05, -3.30, -8.24, -4.52, 34.62, 39.55, 12.67,
6.580012798309326,0.98, -0.03, 0.07, -11.72, -14.22, -2.44, 34.11, 40.39, 13.46,
